1990O,0.030,0.002,16.26,0.20,
1990af,0.050,0.002,17.63,0.18,
1992P,0.026,0.002,16.08,0.24,
1992ae,0.075,0.002,18.43,0.20,
1992ag,0.026,0.002,16.28,0.20,
1992al,0.014,0.002,14.47,0.23,
1992aq,0.101,0.002,19.16,0.23,
1992bc,0.020,0.002,15.18,0.20,
1992bg,0.036,0.002,16.66,0.21,
1992bh,0.045,0.002,17.61,0.19,
1992bl,0.043,0.002,17.19,0.18,
1992bo,0.018,0.002,15.61,0.21,
1992bp,0.079,0.002,18.27,0.18,
1992br,0.088,0.002,19.28,0.18,
1992bs,0.063,0.002,18.24,0.18,
1993B,0.071,0.002,18.33,0.20,
1993O,0.052,0.002,17.54,0.18,
1993ag,0.050,0.002,17.69,0.20,
